Quote_ID,Failure_Category,Gold_Speaker,Candidate_List,Quote,Context (Referring Expression),Explicit Signals Present?,Pronouns Detected,Proper Names Detected,Dialogue Tag Detected,Previous Speaker,Conversation Turn Index,Discourse Context Length,ANNOTATION: Primary Category,ANNOTATION: Secondary Category,ANNOTATION: Evidence,ANNOTATION: Context Window Needed,ANNOTATION: Confidence,ANNOTATION: Explicit Alternative Feasible?,ANNOTATION: Notes,LR_Prediction,GBM_Prediction
AlicesAdventuresInWonderland_644,Both_Fail,Alice,"Hare | The Queen | Alice | The Cook | The King Of Hearts | Two | The White Rabbit | Bill, The Lizard | Five | The Dormouse | Seven | The Gryphon | The Knave Of Hearts","Oh, I _beg_ your pardon!",she exclaimed,No,she,,exclaimed,The White Rabbit,645.0,13.0,Reference: Pronominal Coreference,Discourse: Speaker Continuity,pronoun,Nearby,High,Yes,"The referring expression relies on the pronoun ""she"", requiring coreference resolution to identify Alice from the preceding narrative. The explicit contextual representation failed because it cannot link the pronoun to the correct entity without tracking narrative focus. Whether the current taxonomy appears sufficient or requires refinement: The current taxonomy is highly sufficient. The sub-types under Speaker Continuity (e.g., True Turn Continuation) are properly capturing instances where a speaker follows themselves without a tag, effectively separating structural discourse failures from pure pragmatic inference failures. compare your results This is exactly the kind of comparison your adjudication step should perform. Here's a quote-by-quote analysis. Quote	My Annotation	Other Annotation	Better per Coding Manual	Reason 1 (AIW_644)	Speaker Continuity	Pronominal Coreference	Other annotation (slightly)	The failure originates from the narration ""she exclaimed."" Resolving she is the missing capability. Under your revised taxonomy, 1a is more appropriate than Speaker Continuity. 2 (AIW_607)	Speaker Continuity	Lexical Normalization	Other annotation (clearly)	This is exactly why you introduced 1b. ""the King"" → ""The King Of Hearts"" is an alias-matching problem, not discourse reasoning. 3 (P&P_909)	Speaker Continuity	Pronominal/Discourse Marker	Other annotation (clearly)	""the former"" is a discourse marker referring to a previous entity. Your taxonomy explicitly places discourse markers under 1a, so Speaker Continuity is too coarse. 4 (P&P_1048)	Pronominal Coreference	Pronominal Coreference	Agreement	Same primary category. Only difference is whether an explicit alternative is feasible. 5 (P&P_796)	Speaker Continuity	Speaker Continuity	Agreement	Same reasoning. The secondary category differs only slightly. 6 (P&P_70)	Speaker Continuity	Speaker Continuity	Agreement	Essentially identical. 7 (P&P_400)	Speaker–Addressee	Pronominal Coreference	Other annotation (slightly)	The narration says ""she addressed him"". The immediate failure is resolving she. The addressee helps, but the missing capability is still pronoun resolution. 8 (P&P_390)	Speaker–Addressee	Speaker–Addressee	Agreement	Same primary category. Minor differences only. Agreement Summary Measure	Result Primary Category Agreement	4/8 (50%) After adjudication	8/8 Systematic disagreement	I underused Reference categories The Pattern Is Important This isn't random disagreement. It reflects a consistent interpretation difference. My annotations followed the principle: ""What capability would solve the attribution problem overall?"" The other annotations followed: ""What is the first missing capability encountered by the explicit representation?"" With your revised taxonomy, the second interpretation is the one you intended. For example: ""she exclaimed"" → resolve she first → 1a ""the King repeated"" → normalize the King → 1b ""the former"" → resolve discourse marker → 1a Only after those explicit references are resolved does discourse continuity become relevant. One Thing I Would Change I disagree with a few instances of: | Original Feasible Column: No For Quotes 1, 3, 4, and 7, I would argue this should be Yes. Your definition is: Explicit Alternative Feasible? = solvable without semantic modeling. All four are solvable with: coreference resolution, alias dictionaries, discourse-marker resolution, which are explicit symbolic techniques rather than deep semantic reasoning. So I would mark: 1 → Yes 3 → Yes 4 → Yes 7 → Yes unless your intent is to reserve ""Yes"" only for simple string matching or alias replacement. Overall Assessment The other annotation set aligns more closely with your revised coding manual because it consistently prioritizes the first failed explicit mechanism (pronoun, alias, discourse marker) before considering broader discourse phenomena. My annotations reflect the earlier version of the taxonomy, where I tended to elevate discourse-level explanations over surface reference mechanisms. For the remainder of EXP010, I would adopt the revised interpretation so that annotations remain consistent with the finalized coding manual.",The White Rabbit,The White Rabbit
AlicesAdventuresInWonderland_607,Both_Fail,The King Of Hearts,"Hare | The Queen | Alice | The King Of Hearts | Two | The White Rabbit | Bill, The Lizard | The Hatter | The Dormouse | Five | Seven | The Gryphon | The Knave Of Hearts","Give your evidence, or I'll have you
executed, whether you're nervous or not.",the King repeated,No,,King,,The Dormouse,608.0,17.0,Discourse: Speaker Continuity,Other / Unclassified,"dialogue tag absent, topic continuation",Conversation,High,Yes,"Although ""the King repeated"" is provided externally, the utterance itself requires tracking the current speaker across dialogue turns rather than resolving a pronoun. Quote 3",Hare,Hare
PrideAndPrejudice_909,Both_Fail,Elizabeth,George Wickham | Mrs. Gardiner | Elizabeth | Lydia | Mr. Gardiner | Colonel Forster | Mary | Jane | Mrs. Bennet,"But tell me all and every thing about it, which
I have not already heard. Give me farther particulars. What did Colonel
Forster say? Had they no apprehension of any thing before the elopement
took place? They must have seen them together for ever.",the former continued the subject by saying,No,the former,,continued,Mary,910.0,42.0,Discourse: Speaker Continuity,Narrative Focus,"topic continuation, narrative focus",Conversation,High,Yes,"The speaker is identified through continuation of the ongoing conversational thread. ""The former"" is narrative narration rather than the primary source of attribution failure. Quote 4",Mary,Mary
PrideAndPrejudice_1048,Explicit_Present_But_Fail,Mr. Bennet,Kitty | Mr. Bennet | Mr. Bingley | Mrs. Philips | Elizabeth | Lydia | Mary | Jane | Mrs. Bennet,"'Tis an etiquette I despise, If he wants our society, let
him seek it. He knows where we live. I will not spend _my_ hours in
running after my neighbours every time they go away, and come back
again.",said he,Yes,he,,said,Mrs. Bennet,1049.0,7.0,Reference: Pronominal Coreference,Discourse: Speaker Continuity,pronoun,Nearby,High,Yes,"The explicit attribution relies on resolving the pronoun ""he"" to Mr. Bennet. An explicit named subject would remove the ambiguity without deeper semantic reasoning. Quote 5",Kitty,Mrs. Bennet
PrideAndPrejudice_796,GBM_Only,Elizabeth,Kitty | Mr. Bennet | Elizabeth | Lydia | Mary | Jane | Mrs. Bennet,"Indeed you are mistaken. I have no such injuries to resent. It is not
of peculiar, but of general evils, which I am now complaining. Our
importance, our respectability in the world, must be affected by the
wild volatility, the assurance and disdain of all restraint which mark
Lydia's character. Excuse me--for I must speak plainly. If you, my dear
father, will not take the trouble of checking her exuberant spirits, and
of teaching her that her present pursuits are not to be the business of
her life, she will soon be beyond the reach of amendment. Her character
will be fixed, and she will, at sixteen, be the most determined flirt
that ever made herself and her family ridiculous. A flirt too, in the
worst and meanest degree of flirtation; without any attraction beyond
youth and a tolerable person; and from the ignorance and emptiness of
her mind, wholly unable to ward off any portion of that universal
contempt which her rage for admiration will excite. In this danger Kitty
is also comprehended. She will follow wherever Lydia leads. Vain,
ignorant, idle, and absolutely uncontrouled! Oh! my dear father, can you
suppose it possible that they will not be censured and despised wherever
they are known, and that their sisters will not be often involved in the
disgrace?",,Yes,,,,Elizabeth,797.0,3.0,Discourse: Speaker Continuity,Other / Unclassified,"dialogue tag absent, topic continuation",Local,High,Yes,There is no referring expression identifying the speaker. The quotation is simply the continuation of Elizabeth's uninterrupted turn. Quote 6,Lydia,Elizabeth
PrideAndPrejudice_70,GBM_Only,Jane,Mrs. Hurst | Mr. Bennet | Mr. Bingley | Miss Bingley | Elizabeth | Mr. Darcy | Jane | Mrs. Bennet,"Certainly not; at first. But they are very pleasing women when you
converse with them. Miss Bingley is to live with her brother and keep
his house; and I am much mistaken if we shall not find a very charming
neighbour in her.",,Yes,,,,Jane,71.0,3.0,Discourse: Speaker Continuity,Other / Unclassified,"dialogue tag absent, topic continuation",Local,High,Yes,The quotation continues Jane's existing speech without an explicit attribution. Maintaining dialogue continuity is sufficient for correct speaker identification. Quote 7,Mrs. Hurst,Jane
PrideAndPrejudice_400,Both_Fail,Elizabeth,George Wickham | Mr. Denney | Mr. Collins | Elizabeth | Mr. Darcy | Charlotte Lucas | Mary | Jane,"It is _your_ turn to say something now, Mr. Darcy.--_I_ talked about
the dance, and _you_ ought to make some kind of remark on the size of
the room, or the number of couples.",she addressed him a second time with,No,"him, she",,,Charlotte Lucas,401.0,36.0,Pragmatics: Speaker–Addressee Semantics,Discourse: Speaker Continuity,explicit addressee,Conversation,Medium,No,"The utterance is directed explicitly to Mr. Darcy, making the speaker inferable through the interaction between speaker and addressee. Dialogue continuity assists but is not the primary missing capability. Quote 8",Charlotte Lucas,Charlotte Lucas
PrideAndPrejudice_390,Explicit_Present_But_Fail,Elizabeth,Elizabeth | George Wickham | Jane | Mr. Collins,"Very true, indeed;--and now, my dear Jane, what have you got to say in
behalf of the interested people who have probably been concerned in the
business?--Do clear _them_ too, or we shall be obliged to think ill of
somebody.",,Yes,,,,George Wickham,391.0,3.0,Pragmatics: Speaker–Addressee Semantics,Discourse: Speaker Continuity,explicit addressee,Nearby,Medium,No,"The address to ""my dear Jane"" provides the strongest cue for identifying the speaker through conversational roles. Correct attribution depends more on speaker–addressee reasoning than on surface reference alone. Batch Summary Most common category: Discourse: Speaker Continuity (5/8) Other categories observed: Reference: Pronominal Coreference (1), Pragmatics: Speaker–Addressee Semantics (2) New phenomena observed: None. All examples fit the current taxonomy without requiring additional categories. Taxonomy assessment: The current taxonomy appears sufficient for these examples. The primary distinction continues to be between discourse-level turn maintenance and genuine reference resolution, supporting the decision to avoid overusing coreference.",George Wickham,George Wickham
PrideAndPrejudice_854,Explicit_Present_But_Fail,Mr. Bingley,Mr. Bingley | Mrs. Gardiner | Elizabeth | Mr. Darcy | Mr. Gardiner | Jane | Mrs. Reynolds,"It
is above eight months. We have not met since the 26th of November, when
we were all dancing together at Netherfield.",he added,Yes,he,,added,Mr. Gardiner,855.0,8.0,Reference: Pronominal Coreference,Discourse: Speaker Continuity,pronoun,Local,High,Yes,"The dialogue tag ""he added"" requires resolving the pronoun to the correct antecedent. The attribution failure is primarily a coreference problem rather than a discourse one.",Mr. Gardiner,Mr. Gardiner
PrideAndPrejudice_169,Both_Fail,Mr. Darcy,Mrs. Hurst | Mr. Bennet | Mr. Bingley | Miss Bingley | Elizabeth | Mr. Darcy | Mr. Hurst | Mary | Lydia | Mrs. Bennet,"Not at all, they were brightened by the exercise.",he replied,No,he,,replied,Mr. Bingley,170.0,10.0,Reference: Pronominal Coreference,Discourse: Speaker Continuity,pronoun,Local,High,Yes,"The narration attributes the quote only through the pronoun ""he replied."" Identifying the speaker depends first on resolving that reference.",Mr. Bennet,Mr. Bennet
