quote_id,quote_type,candidate,similarity_score,reason_unavailable,is_gold
AlicesAdventuresInWonderland_1,Explicit,The White Rabbit,0.0,CANDIDATE_UNSEEN,1
AlicesAdventuresInWonderland_1,Explicit,Alice,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_2,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_2,Explicit,Alice,0.0,BELOW_MIN_QUOTES,1
AlicesAdventuresInWonderland_3,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_3,Anaphoric,Alice,0.0,BELOW_MIN_QUOTES,1
AlicesAdventuresInWonderland_4,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_4,Anaphoric,Alice,0.0,BELOW_MIN_QUOTES,1
AlicesAdventuresInWonderland_5,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_5,Explicit,Alice,0.0,BELOW_MIN_QUOTES,1
AlicesAdventuresInWonderland_5,Explicit,Dinah,0.0,CANDIDATE_UNSEEN,0
AlicesAdventuresInWonderland_6,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_6,Anaphoric,Alice,0.0,BELOW_MIN_QUOTES,1
AlicesAdventuresInWonderland_6,Anaphoric,Dinah,0.0,CANDIDATE_UNSEEN,0
AlicesAdventuresInWonderland_7,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,1
AlicesAdventuresInWonderland_7,Anaphoric,Alice,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_8,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_8,Explicit,Alice,0.0,BELOW_MIN_QUOTES,1
AlicesAdventuresInWonderland_9,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_9,Explicit,Alice,0.0,BELOW_MIN_QUOTES,1
AlicesAdventuresInWonderland_10,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_10,Anaphoric,Alice,0.1044266113605675,AVAILABLE,1
AlicesAdventuresInWonderland_11,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_11,Explicit,Alice,0.06612704591364982,AVAILABLE,1
AlicesAdventuresInWonderland_12,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_12,Explicit,Alice,0.20788550782563853,AVAILABLE,1
AlicesAdventuresInWonderland_13,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_13,Explicit,Alice,0.17984735838162402,AVAILABLE,1
AlicesAdventuresInWonderland_14,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_14,Explicit,Alice,0.1867829933627363,AVAILABLE,1
AlicesAdventuresInWonderland_15,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_15,Anaphoric,Alice,0.05509368319867386,AVAILABLE,1
AlicesAdventuresInWonderland_16,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_16,Explicit,Alice,0.13389275186265095,AVAILABLE,1
AlicesAdventuresInWonderland_17,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_17,Explicit,Alice,0.27972541537499435,AVAILABLE,1
AlicesAdventuresInWonderland_18,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_18,Anaphoric,Alice,0.24180703813685225,AVAILABLE,1
AlicesAdventuresInWonderland_19,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_19,Explicit,Alice,0.28920296688112235,AVAILABLE,1
AlicesAdventuresInWonderland_20,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,1
AlicesAdventuresInWonderland_20,Anaphoric,The Duchess,0.0,CANDIDATE_UNSEEN,0
AlicesAdventuresInWonderland_20,Anaphoric,Alice,0.14310135294201878,AVAILABLE,0
AlicesAdventuresInWonderland_21,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_21,Anaphoric,Alice,0.13883420961036141,AVAILABLE,1
AlicesAdventuresInWonderland_22,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_22,Anaphoric,Alice,0.27799183440785274,AVAILABLE,1
AlicesAdventuresInWonderland_23,Anaphoric,Mabel,0.0,CANDIDATE_UNSEEN,0
AlicesAdventuresInWonderland_23,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_23,Anaphoric,Alice,0.2997160079936795,AVAILABLE,1
AlicesAdventuresInWonderland_23,Anaphoric,Ada,0.0,CANDIDATE_UNSEEN,0
AlicesAdventuresInWonderland_24,Explicit,Mabel,0.0,CANDIDATE_UNSEEN,0
AlicesAdventuresInWonderland_24,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_24,Explicit,Alice,0.391575187373846,AVAILABLE,1
AlicesAdventuresInWonderland_25,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_25,Anaphoric,Alice,0.10646125078276901,AVAILABLE,1
AlicesAdventuresInWonderland_26,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_26,Explicit,Alice,0.17256139491140413,AVAILABLE,1
AlicesAdventuresInWonderland_27,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_27,Anaphoric,Alice,0.1909709546596666,AVAILABLE,1
AlicesAdventuresInWonderland_28,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_28,Anaphoric,Alice,0.1490495148430136,AVAILABLE,1
AlicesAdventuresInWonderland_29,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_29,Explicit,Alice,0.22393753973964586,AVAILABLE,1
AlicesAdventuresInWonderland_30,Explicit,Alice,0.37277720752925364,AVAILABLE,1
AlicesAdventuresInWonderland_30,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_30,Explicit,The Mouse,0.0,CANDIDATE_UNSEEN,0
AlicesAdventuresInWonderland_31,Anaphoric,Alice,0.24320983785777386,AVAILABLE,1
AlicesAdventuresInWonderland_31,Anaphoric,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
AlicesAdventuresInWonderland_31,Anaphoric,The Mouse,0.0,CANDIDATE_UNSEEN,0
AlicesAdventuresInWonderland_32,Explicit,William The Conqueror,0.0,CANDIDATE_UNSEEN,0
AlicesAdventuresInWonderland_32,Explicit,The White Rabbit,0.0,BELOW_MIN_QUOTES,0
