Feature,Type,Mean,Variance,Min,Max,Missing %,Unique Values,Correlation with Label
candidate_is_explicit_mention,float64,0.02091046890142385,0.02047334837752022,0.0,1.0,0.0,2,0.2580809953126138
candidate_is_last_speaker,float64,0.23049350197549884,0.17736734937475115,0.0,1.0,0.0,2,-0.08865763111819239
candidate_is_previous_speaker,float64,0.23031955868101284,0.1772735608395391,0.0,1.0,0.0,2,0.5557878006799739
candidate_is_recent_mention,float64,0.5193263424694978,0.24962804324118876,0.0,1.0,0.0,2,-0.4502056535081785
conversation_length,float64,823.9754864199986,372822.3825239914,1.0,2610.0,0.0,2610,0.006270394057057718
conversation_speaker_change,float64,0.8556643391397262,0.1235036451011201,0.0,1.0,0.0,2,0.005360098712488539
conversation_turn_index,float64,823.9754864199986,372822.3825239914,1.0,2610.0,0.0,2610,0.006270394057057718
discourse_context_length,float64,10.798026986059687,212.87010364208945,0.0,269.0,0.0,174,-0.04330240917397193
discourse_dialogue_position,float64,823.9754864199986,372822.3825239914,1.0,2610.0,0.0,2610,0.006270394057057718
lexical_has_exclamation,float64,0.18396988296101185,0.15012589774551063,0.0,1.0,0.0,2,-0.017767965733082678
lexical_has_question_mark,float64,0.2885222274681311,0.20527842696802595,0.0,1.0,0.0,2,0.001084218082009074
lexical_quote_length_chars,float64,143.2206222200134,55725.20029584508,1.0,4701.0,0.0,1199,-0.031625772783152886
lexical_quote_length_tokens,float64,27.616380488532165,1993.8183196223406,1.0,828.0,0.0,353,-0.031160977689594895
symbolic_alternation_rule_fired,float64,0.19633849365106976,0.15779066979864664,0.0,1.0,0.0,2,0.5668088733314085
symbolic_explicit_rule_fired,float64,0.02070546430435107,0.020276874017516187,0.0,1.0,0.0,2,0.25848378448753784
