quote_id,novel,has_gold,gold_rank,quote_type
AlicesAdventuresInWonderland_1,AlicesAdventuresInWonderland,True,2,Explicit
AlicesAdventuresInWonderland_10,AlicesAdventuresInWonderland,True,1,Anaphoric
AlicesAdventuresInWonderland_100,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_101,AlicesAdventuresInWonderland,True,2,Explicit
AlicesAdventuresInWonderland_102,AlicesAdventuresInWonderland,False,-1,Implicit
AlicesAdventuresInWonderland_103,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_104,AlicesAdventuresInWonderland,True,1,Implicit
AlicesAdventuresInWonderland_105,AlicesAdventuresInWonderland,True,1,Implicit
AlicesAdventuresInWonderland_106,AlicesAdventuresInWonderland,True,1,Implicit
AlicesAdventuresInWonderland_107,AlicesAdventuresInWonderland,True,1,Implicit
AlicesAdventuresInWonderland_108,AlicesAdventuresInWonderland,True,1,Implicit
AlicesAdventuresInWonderland_109,AlicesAdventuresInWonderland,True,1,Implicit
AlicesAdventuresInWonderland_11,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_110,AlicesAdventuresInWonderland,True,1,Implicit
AlicesAdventuresInWonderland_111,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_112,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_113,AlicesAdventuresInWonderland,True,3,Anaphoric
AlicesAdventuresInWonderland_114,AlicesAdventuresInWonderland,True,2,Explicit
AlicesAdventuresInWonderland_115,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_116,AlicesAdventuresInWonderland,False,-1,Anaphoric
AlicesAdventuresInWonderland_117,AlicesAdventuresInWonderland,True,2,Anaphoric
AlicesAdventuresInWonderland_118,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_119,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_12,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_120,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_121,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_122,AlicesAdventuresInWonderland,True,4,Anaphoric
AlicesAdventuresInWonderland_123,AlicesAdventuresInWonderland,True,1,Anaphoric
AlicesAdventuresInWonderland_124,AlicesAdventuresInWonderland,True,1,Anaphoric
AlicesAdventuresInWonderland_125,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_126,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_127,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_128,AlicesAdventuresInWonderland,False,-1,Explicit
AlicesAdventuresInWonderland_129,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_13,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_130,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_131,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_132,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_133,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_134,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_135,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_136,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_137,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_138,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_139,AlicesAdventuresInWonderland,True,1,Anaphoric
AlicesAdventuresInWonderland_14,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_140,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_141,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_142,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_143,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_144,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_145,AlicesAdventuresInWonderland,True,1,Anaphoric
AlicesAdventuresInWonderland_146,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_147,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_148,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_149,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_15,AlicesAdventuresInWonderland,True,2,Anaphoric
AlicesAdventuresInWonderland_150,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_151,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_152,AlicesAdventuresInWonderland,True,1,Anaphoric
AlicesAdventuresInWonderland_153,AlicesAdventuresInWonderland,True,1,Explicit
AlicesAdventuresInWonderland_154,AlicesAdventuresInWonderland,True,1,Explicit
