Quote_ID,Failure_Category,Gold_Speaker,Candidate_List,Quote,Context (Referring Expression),Explicit Signals Present?,Pronouns Detected,Proper Names Detected,Dialogue Tag Detected,Previous Speaker,Conversation Turn Index,Discourse Context Length,ANNOTATION: Primary Category,ANNOTATION: Secondary Category,ANNOTATION: Evidence,ANNOTATION: Context Window Needed,ANNOTATION: Confidence,ANNOTATION: Explicit Alternative Feasible?,ANNOTATION: Notes,LR_Prediction,GBM_Prediction
AlicesAdventuresInWonderland_644,Both_Fail,Alice,"Hare | The Queen | Alice | The Cook | The King Of Hearts | Two | The White Rabbit | Bill, The Lizard | Five | The Dormouse | Seven | The Gryphon | The Knave Of Hearts","Oh, I _beg_ your pardon!",she exclaimed,No,she,None,exclaimed,The White Rabbit,645.0,13.0,1. Reference: Coreference and Aliasing,,pronoun,Nearby,High,Yes,Pronoun 'she' requires coreference resolution,The White Rabbit,The White Rabbit
AlicesAdventuresInWonderland_607,Both_Fail,The King Of Hearts,"Hare | The Queen | Alice | The King Of Hearts | Two | The White Rabbit | Bill, The Lizard | The Hatter | The Dormouse | Five | Seven | The Gryphon | The Knave Of Hearts","Give your evidence, or I'll have you
executed, whether you're nervous or not.",the King repeated,No,None,King,None,The Dormouse,608.0,17.0,1. Reference: Coreference and Aliasing,,alias,Local,High,Yes,Alias 'the King' requires normalization to 'The King Of Hearts',Hare,Hare
PrideAndPrejudice_909,Both_Fail,Elizabeth,George Wickham | Mrs. Gardiner | Elizabeth | Lydia | Mr. Gardiner | Colonel Forster | Mary | Jane | Mrs. Bennet,"But tell me all and every thing about it, which
I have not already heard. Give me farther particulars. What did Colonel
Forster say? Had they no apprehension of any thing before the elopement
took place? They must have seen them together for ever.",the former continued the subject by saying,No,the former,None,continued,Mary,910.0,42.0,1. Reference: Coreference and Aliasing,,discourse marker,Nearby,High,Yes,'the former' acts as a discourse marker,Mary,Mary
PrideAndPrejudice_1048,Explicit_Present_But_Fail,Mr. Bennet,Kitty | Mr. Bennet | Mr. Bingley | Mrs. Philips | Elizabeth | Lydia | Mary | Jane | Mrs. Bennet,"'Tis an etiquette I despise, If he wants our society, let
him seek it. He knows where we live. I will not spend _my_ hours in
running after my neighbours every time they go away, and come back
again.",said he,Yes,he,None,said,Mrs. Bennet,1049.0,7.0,1. Reference: Coreference and Aliasing,,pronoun,Nearby,High,Yes,Pronoun 'he',Kitty,Mrs. Bennet
PrideAndPrejudice_796,GBM_Only,Elizabeth,Kitty | Mr. Bennet | Elizabeth | Lydia | Mary | Jane | Mrs. Bennet,"Indeed you are mistaken. I have no such injuries to resent. It is not
of peculiar, but of general evils, which I am now complaining. Our
importance, our respectability in the world, must be affected by the
wild volatility, the assurance and disdain of all restraint which mark
Lydia's character. Excuse me--for I must speak plainly. If you, my dear
father, will not take the trouble of checking her exuberant spirits, and
of teaching her that her present pursuits are not to be the business of
her life, she will soon be beyond the reach of amendment. Her character
will be fixed, and she will, at sixteen, be the most determined flirt
that ever made herself and her family ridiculous. A flirt too, in the
worst and meanest degree of flirtation; without any attraction beyond
youth and a tolerable person; and from the ignorance and emptiness of
her mind, wholly unable to ward off any portion of that universal
contempt which her rage for admiration will excite. In this danger Kitty
is also comprehended. She will follow wherever Lydia leads. Vain,
ignorant, idle, and absolutely uncontrouled! Oh! my dear father, can you
suppose it possible that they will not be censured and despised wherever
they are known, and that their sisters will not be often involved in the
disgrace?",nan,Yes,None,None,None,Elizabeth,797.0,3.0,3. Pragmatics: Speaker–Addressee Semantics,2. Discourse: Speaker Continuity,explicit addressee,Conversation,High,No,Addresses 'my dear father' and discusses sisters Lydia and Kitty,Lydia,Elizabeth
PrideAndPrejudice_70,GBM_Only,Jane,Mrs. Hurst | Mr. Bennet | Mr. Bingley | Miss Bingley | Elizabeth | Mr. Darcy | Jane | Mrs. Bennet,"Certainly not; at first. But they are very pleasing women when you
converse with them. Miss Bingley is to live with her brother and keep
his house; and I am much mistaken if we shall not find a very charming
neighbour in her.",nan,Yes,None,None,None,Jane,71.0,3.0,2. Discourse: Speaker Continuity,,dialogue tag absent,Nearby,High,Yes,Turn continuation,Mrs. Hurst,Jane
PrideAndPrejudice_400,Both_Fail,Elizabeth,George Wickham | Mr. Denney | Mr. Collins | Elizabeth | Mr. Darcy | Charlotte Lucas | Mary | Jane,"It is _your_ turn to say something now, Mr. Darcy.--_I_ talked about
the dance, and _you_ ought to make some kind of remark on the size of
the room, or the number of couples.",she addressed him a second time with,No,"him, she",None,None,Charlotte Lucas,401.0,36.0,3. Pragmatics: Speaker–Addressee Semantics,1. Reference: Coreference and Aliasing,explicit addressee,Local,High,Yes,Addresses Mr. Darcy directly in text,Charlotte Lucas,Charlotte Lucas
PrideAndPrejudice_390,Explicit_Present_But_Fail,Elizabeth,Elizabeth | George Wickham | Jane | Mr. Collins,"Very true, indeed;--and now, my dear Jane, what have you got to say in
behalf of the interested people who have probably been concerned in the
business?--Do clear _them_ too, or we shall be obliged to think ill of
somebody.",nan,Yes,None,None,None,George Wickham,391.0,3.0,3. Pragmatics: Speaker–Addressee Semantics,2. Discourse: Speaker Continuity,explicit addressee,Local,High,No,Addresses 'my dear Jane',George Wickham,George Wickham
PrideAndPrejudice_854,Explicit_Present_But_Fail,Mr. Bingley,Mr. Bingley | Mrs. Gardiner | Elizabeth | Mr. Darcy | Mr. Gardiner | Jane | Mrs. Reynolds,"It
is above eight months. We have not met since the 26th of November, when
we were all dancing together at Netherfield.",he added,Yes,he,None,added,Mr. Gardiner,855.0,8.0,1. Reference: Coreference and Aliasing,,pronoun,Nearby,High,Yes,Pronoun 'he',Mr. Gardiner,Mr. Gardiner
PrideAndPrejudice_169,Both_Fail,Mr. Darcy,Mrs. Hurst | Mr. Bennet | Mr. Bingley | Miss Bingley | Elizabeth | Mr. Darcy | Mr. Hurst | Mary | Lydia | Mrs. Bennet,"Not at all, they were brightened by the exercise.",he replied,No,he,None,replied,Mr. Bingley,170.0,10.0,1. Reference: Coreference and Aliasing,2. Discourse: Speaker Continuity,pronoun,Nearby,High,Yes,Pronoun 'he',Mr. Bennet,Mr. Bennet
