Quote_ID,Failure_Category,Gold_Speaker,Candidate_List,Quote,Context (Referring Expression),Explicit Signals Present?,Pronouns Detected,Proper Names Detected,Dialogue Tag Detected,Previous Speaker,Conversation Turn Index,Discourse Context Length,ANNOTATION: Primary Category,ANNOTATION: Secondary Category,ANNOTATION: Evidence,ANNOTATION: Context Window Needed,ANNOTATION: Confidence,ANNOTATION: Explicit Alternative Feasible?,ANNOTATION: Notes,LR_Prediction,GBM_Prediction
AlicesAdventuresInWonderland_644,Both_Fail,Alice,"Hare | The Queen | Alice | The Cook | The King Of Hearts | Two | The White Rabbit | Bill, The Lizard | Five | The Dormouse | Seven | The Gryphon | The Knave Of Hearts","Oh, I _beg_ your pardon!",she exclaimed,No,she,None,exclaimed,The White Rabbit,645.0,13.0,,,,,,,,The White Rabbit,The White Rabbit
AlicesAdventuresInWonderland_607,Both_Fail,The King Of Hearts,"Hare | The Queen | Alice | The King Of Hearts | Two | The White Rabbit | Bill, The Lizard | The Hatter | The Dormouse | Five | Seven | The Gryphon | The Knave Of Hearts","Give your evidence, or I'll have you
executed, whether you're nervous or not.",the King repeated,No,None,King,None,The Dormouse,608.0,17.0,,,,,,,,Hare,Hare
PrideAndPrejudice_909,Both_Fail,Elizabeth,George Wickham | Mrs. Gardiner | Elizabeth | Lydia | Mr. Gardiner | Colonel Forster | Mary | Jane | Mrs. Bennet,"But tell me all and every thing about it, which
I have not already heard. Give me farther particulars. What did Colonel
Forster say? Had they no apprehension of any thing before the elopement
took place? They must have seen them together for ever.",the former continued the subject by saying,No,the former,None,continued,Mary,910.0,42.0,,,,,,,,Mary,Mary
PrideAndPrejudice_1048,Explicit_Present_But_Fail,Mr. Bennet,Kitty | Mr. Bennet | Mr. Bingley | Mrs. Philips | Elizabeth | Lydia | Mary | Jane | Mrs. Bennet,"'Tis an etiquette I despise, If he wants our society, let
him seek it. He knows where we live. I will not spend _my_ hours in
running after my neighbours every time they go away, and come back
again.",said he,Yes,he,None,said,Mrs. Bennet,1049.0,7.0,,,,,,,,Kitty,Mrs. Bennet
PrideAndPrejudice_796,GBM_Only,Elizabeth,Kitty | Mr. Bennet | Elizabeth | Lydia | Mary | Jane | Mrs. Bennet,"Indeed you are mistaken. I have no such injuries to resent. It is not
of peculiar, but of general evils, which I am now complaining. Our
importance, our respectability in the world, must be affected by the
wild volatility, the assurance and disdain of all restraint which mark
Lydia's character. Excuse me--for I must speak plainly. If you, my dear
father, will not take the trouble of checking her exuberant spirits, and
of teaching her that her present pursuits are not to be the business of
her life, she will soon be beyond the reach of amendment. Her character
will be fixed, and she will, at sixteen, be the most determined flirt
that ever made herself and her family ridiculous. A flirt too, in the
worst and meanest degree of flirtation; without any attraction beyond
youth and a tolerable person; and from the ignorance and emptiness of
her mind, wholly unable to ward off any portion of that universal
contempt which her rage for admiration will excite. In this danger Kitty
is also comprehended. She will follow wherever Lydia leads. Vain,
ignorant, idle, and absolutely uncontrouled! Oh! my dear father, can you
suppose it possible that they will not be censured and despised wherever
they are known, and that their sisters will not be often involved in the
disgrace?",nan,Yes,None,None,None,Elizabeth,797.0,3.0,,,,,,,,Lydia,Elizabeth
PrideAndPrejudice_70,GBM_Only,Jane,Mrs. Hurst | Mr. Bennet | Mr. Bingley | Miss Bingley | Elizabeth | Mr. Darcy | Jane | Mrs. Bennet,"Certainly not; at first. But they are very pleasing women when you
converse with them. Miss Bingley is to live with her brother and keep
his house; and I am much mistaken if we shall not find a very charming
neighbour in her.",nan,Yes,None,None,None,Jane,71.0,3.0,,,,,,,,Mrs. Hurst,Jane
PrideAndPrejudice_400,Both_Fail,Elizabeth,George Wickham | Mr. Denney | Mr. Collins | Elizabeth | Mr. Darcy | Charlotte Lucas | Mary | Jane,"It is _your_ turn to say something now, Mr. Darcy.--_I_ talked about
the dance, and _you_ ought to make some kind of remark on the size of
the room, or the number of couples.",she addressed him a second time with,No,"him, she",None,None,Charlotte Lucas,401.0,36.0,,,,,,,,Charlotte Lucas,Charlotte Lucas
PrideAndPrejudice_390,Explicit_Present_But_Fail,Elizabeth,Elizabeth | George Wickham | Jane | Mr. Collins,"Very true, indeed;--and now, my dear Jane, what have you got to say in
behalf of the interested people who have probably been concerned in the
business?--Do clear _them_ too, or we shall be obliged to think ill of
somebody.",nan,Yes,None,None,None,George Wickham,391.0,3.0,,,,,,,,George Wickham,George Wickham
PrideAndPrejudice_854,Explicit_Present_But_Fail,Mr. Bingley,Mr. Bingley | Mrs. Gardiner | Elizabeth | Mr. Darcy | Mr. Gardiner | Jane | Mrs. Reynolds,"It
is above eight months. We have not met since the 26th of November, when
we were all dancing together at Netherfield.",he added,Yes,he,None,added,Mr. Gardiner,855.0,8.0,,,,,,,,Mr. Gardiner,Mr. Gardiner
PrideAndPrejudice_169,Both_Fail,Mr. Darcy,Mrs. Hurst | Mr. Bennet | Mr. Bingley | Miss Bingley | Elizabeth | Mr. Darcy | Mr. Hurst | Mary | Lydia | Mrs. Bennet,"Not at all, they were brightened by the exercise.",he replied,No,he,None,replied,Mr. Bingley,170.0,10.0,,,,,,,,Mr. Bennet,Mr. Bennet
AlicesAdventuresInWonderland_640,Both_Fail,The King Of Hearts,The Queen | Alice | The Cook | The King Of Hearts | The White Rabbit | The Hatter | The Dormouse,"Really, my
dear, _you_ must cross-examine the next witness. It quite makes my
forehead ache!",he added in an undertone to the Queen,No,he,Queen,added,The Queen,641.0,37.0,,,,,,,,The Queen,The Queen
PrideAndPrejudice_979,Explicit_Present_But_Fail,Mrs. Bennet,George Wickham | Kitty | Jane | Mr. Bennet | Mrs. Hill | Mrs. Gardiner | Elizabeth | Mr. Gardiner | Mary | Lydia | Mrs. Bennet,"My dear, dear Lydia! This is delightful indeed!--She will
be married!--I shall see her again!--She will be married at sixteen!--My
good, kind brother!--I knew how it would be--I knew he would manage
every thing. How I long to see her! and to see dear Wickham too! But the
clothes, the wedding clothes! I will write to my sister Gardiner about
them directly. Lizzy, my dear, run down to your father, and ask him how
much he will give her. Stay, stay, I will go myself. Ring the bell,
Kitty, for Hill. I will put on my things in a moment. My dear, dear
Lydia!--How merry we shall be together when we meet!",she cried,Yes,she,None,cried,Elizabeth,980.0,9.0,,,,,,,,George Wickham,Mr. Bennet
PrideAndPrejudice_408,Explicit_Present_But_Fail,Elizabeth,Kitty | Jane | Mr. Denney | Mr. Collins | Elizabeth | Mr. Darcy | Charlotte Lucas | Mary | Lydia,"When you met us there the other day, we had just
been forming a new acquaintance.",She answered in the affirmative and unable to resist the temptation added,Yes,she,She,"added, answered",Mr. Darcy,409.0,73.0,,,,,,,,Mr. Denney,Mr. Denney
PrideAndPrejudice_675,Both_Fail,Colonel Fitzwilliam,Elizabeth | Mr. Darcy | Charlotte Lucas | Colonel Fitzwilliam,"Yes--if Darcy does not put it off again. But I am at his disposal. He
arranges the business just as he pleases.",nan,No,None,None,None,Elizabeth,676.0,3.0,,,,,,,,Charlotte Lucas,Charlotte Lucas
DaisyMiller_240,Explicit_Present_But_Fail,Mrs. Miller,Eugenio | Daisy Miller | Mrs. Miller | Winterbourne,"Oh, Daisy; now we can go!",said Mrs Miller,Yes,None,"Mrs, Miller",said,Daisy Miller,241.0,15.0,,,,,,,,Daisy Miller,Daisy Miller
PrideAndPrejudice_591,Explicit_Present_But_Fail,Elizabeth,Elizabeth | Charlotte Lucas | Mr. Gardiner | Mrs. Gardiner,"My dear, dear
aunt, what delight! what felicity! You give me
fresh life and vigour. Adieu to disappointment and spleen. What are men
to rocks and mountains? Oh! what hours of transport we shall spend! And
when we _do_ return, it shall not be like other travellers, without
being able to give one accurate idea of any thing. We _will_ know where
we have gone--we _will_ recollect what we have seen. Lakes, mountains,
and rivers, shall not be jumbled together in our imaginations; nor, when
we attempt to describe any particular scene, will we begin quarrelling
about its relative situation. Let _our_ first effusions be less
insupportable than those of the generality of travellers.",she rapturously cried,Yes,she,None,cried,Mrs. Gardiner,592.0,21.0,,,,,,,,Charlotte Lucas,Mrs. Gardiner
PrideAndPrejudice_765,Both_Fail,Jane,George Wickham | Miss Darcy | Jane | Mr. Bennet | Elizabeth | Mr. Darcy | Mary | Lydia,"I do not know when I have been more shocked, Wickham so
very bad! It is almost past belief. And poor Mr. Darcy! dear Lizzy, only
consider what he must have suffered. Such a disappointment! and with the
knowledge of your ill opinion too! and having to relate such a thing of
his sister! It is really too distressing. I am sure you must feel it
so.",said she,No,she,None,said,Elizabeth,766.0,8.0,,,,,,,,George Wickham,George Wickham
PrideAndPrejudice_998,Explicit_Present_But_Fail,Lydia,George Wickham | Jane | Mr. Bennet | Mrs. Gardiner | Elizabeth | Mr. Stone | Mr. Darcy | Mr. Gardiner | Lydia | Mrs. Bennet,"Well, and so we breakfasted at ten as usual; I thought it would never
be over; for, by the bye, you are to understand, that my uncle and aunt
were horrid unpleasant all the time I was with them. If you'll believe
me, I did not once put my foot out of doors, though I was there a
fortnight. Not one party, or scheme, or any thing. To be sure London was
rather thin, but however the little Theatre was open. Well, and so just
as the carriage came to the door, my uncle was called away upon business
to that horrid man Mr. Stone. And then, you know, when once they get
together, there is no end of it. Well, I was so frightened I did not
know what to do, for my uncle was to give me away; and if we were beyond
the hour, we could not be married all day. But, luckily, he came back
again in ten minutes time, and then we all set out. However, I
recollected afterwards, that if he _had_ been prevented going, the
wedding need not be put off, for Mr. Darcy might have done as well.",nan,Yes,None,None,None,Elizabeth,999.0,3.0,,,,,,,,George Wickham,Elizabeth
PrideAndPrejudice_904,Both_Fail,Mrs. Bennet,George Wickham | Kitty | Jane | Mr. Bennet | Mr. Collins | Mrs. Gardiner | Elizabeth | Charlotte Lucas | Mr. Gardiner | Colonel Forster | Mary | Lydia | Mrs. Bennet,"If I had been able, to carry my point of going to Brighton,
with all my family, _this_ would not have happened; but poor dear Lydia
had nobody to take care of her. Why did the Forsters ever let her go out
of their sight? I am sure there was some great neglect or other on their
side, for she is not the kind of girl to do such a thing, if she had
been well looked after. I always thought they were very unfit to have
the charge of her; but I was over-ruled, as I always am. Poor dear
child! And now here's Mr. Bennet gone away, and I know he will fight
Wickham, wherever he meets him, and then he will be killed, and what is
to become of us all? The Collinses will turn us out, before he is cold
in his grave; and if you are not kind to us, brother, I do not know what
we shall do.",said she,No,she,None,said,Jane,905.0,8.0,,,,,,,,George Wickham,Jane
PrideAndPrejudice_125,Both_Fail,Mr. Darcy,Elizabeth | Sir William Lucas | Mr. Darcy | Miss Bingley,I should imagine not.,nan,No,None,None,None,Sir William Lucas,126.0,3.0,,,,,,,,Sir William Lucas,Sir William Lucas
PrideAndPrejudice_224,GBM_Only,Mrs. Bennet,Kitty | Mr. Bingley | Miss Bingley | Elizabeth | Mr. Darcy | Lydia | Mrs. Bennet,"I cannot see that London has any great advantage over the country for
my part, except the shops and public places. The country is a vast deal
pleasanter, is not it, Mr. Bingley?",nan,No,None,None,None,Elizabeth,225.0,3.0,,,,,,,,Mr. Darcy,Mrs. Bennet
DaisyMiller_535,Both_Fail,Mrs. Miller,Randolph | Mrs. Miller | Mr. Giovanelli | Daisy Miller | Winterbourne,"Daisy spoke of you the other day, Half the time she doesn t know what she s saying, but that time I think
she did. She gave me a message she told me to tell you. She told me to
tell you that she never was engaged to that handsome Italian. I am sure
I am very glad; Mr. Giovanelli hasn t been near us since she was taken
ill. I thought he was so much of a gentleman; but I don t call that
very polite! A lady told me that he was afraid I was angry with him for
taking Daisy round at night. Well, so I am, but I suppose he knows I m a
lady. I would scorn to scold him. Anyway, she says she s not engaged. I
don t know why she wanted you to know, but she said to me three times, And then she told me to ask if you
remembered the time you went to that castle in Switzerland. But I said
I wouldn t give any such messages as that. Only, if she is not engaged,
I m sure I m glad to know it.",she said to him,No,"him, she",None,said,Daisy Miller,536.0,15.0,,,,,,,,Randolph,Randolph
AlicesAdventuresInWonderland_632,GBM_Only,The King Of Hearts,"Hare | The Queen | Alice | The Cook | The King Of Hearts | Two | The White Rabbit | Bill, The Lizard | The Dormouse | Five | The Hatter | Seven | The Gryphon | The Knave Of Hearts","Give your evidence,",said the King,No,None,King,said,The Queen,633.0,13.0,,,,,,,,Hare,The King Of Hearts
PrideAndPrejudice_642,Both_Fail,Elizabeth,Lady Catherine De Bourgh | Elizabeth | Mr. Darcy | Charlotte Lucas | Colonel Fitzwilliam,"You shall hear then--but prepare yourself for something very dreadful.
The first time of my ever seeing him in Hertfordshire, you must know,
was at a ball--and at this ball, what do you think he did? He danced
only four dances! I am sorry to pain you--but so it was. He danced only
four dances, though gentlemen were scarce; and, to my certain knowledge,
more than one young lady was sitting down in want of a partner. Mr.
Darcy, you cannot deny the fact.",nan,No,None,None,None,Mr. Darcy,643.0,3.0,,,,,,,,Lady Catherine De Bourgh,Mr. Darcy
PrideAndPrejudice_29,Both_Fail,Mrs. Bennet,Kitty | Jane | Mr. Bennet | Mr. Bingley | Elizabeth | Mary | Lydia | Mrs. Bennet,"We are not in a way to know _what_ Mr. Bingley likes, since we are not to visit.",said her mother,No,her,None,said,Mr. Bennet,30.0,15.0,,,,,,,,Jane,Jane
PrideAndPrejudice_812,Both_Fail,Elizabeth,George Wickham | Mr. Bennet | Mrs. Gardiner | Elizabeth | Mr. Gardiner,"And of this place, I might have been mistress! With
these rooms I might now have been familiarly acquainted! Instead of
viewing them as a stranger, I might have rejoiced in them as my own, and
welcomed to them as visitors my uncle and aunt.--But no, that could never be: my uncle and aunt would have been lost
to me: I should not have been allowed to invite them.",thought she,No,she,None,None,Mrs. Gardiner,813.0,11.0,,,,,,,,George Wickham,George Wickham
AlicesAdventuresInWonderland_114,Both_Fail,The White Rabbit,Bill | Pat | The White Rabbit | Alice,"Catch him, you by the hedge!",the Rabbits voice along,No,None,Rabbits,None,Alice,115.0,23.0,,,,,,,,Alice,Alice
PrideAndPrejudice_949,Both_Fail,Elizabeth,Kitty | Mr. Bennet | Mrs. Hill | Butler | Elizabeth | Mr. Gardiner | Jane,"Oh, Papa, what news? what news? have you heard from my uncle?",her sister panting for breath came up with him and eagerly cried out,No,"her, him",None,cried,Mrs. Hill,950.0,68.0,,,,,,,,Mrs. Hill,Mrs. Hill
PrideAndPrejudice_787,GBM_Only,Mrs. Bennet,Colonel Millar | Kitty | Jane | Elizabeth | Mary | Lydia | Mrs. Bennet,"I am sure, I cried for two days together when Colonel
Millar's regiment went away. I thought I should have broke my heart.",said she,No,she,None,said,Elizabeth,788.0,8.0,,,,,,,,Colonel Millar,Mrs. Bennet
