quote_id,quote_type,baseline_prediction,EXP019_prediction,gold,recovered,regressed
AlicesAdventuresInWonderland_1,Explicit,Alice,Alice,The White Rabbit,0,0
AlicesAdventuresInWonderland_10,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_100,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_101,Explicit,Alice,Alice,The White Rabbit,0,0
AlicesAdventuresInWonderland_102,Implicit,Alice,Alice,Pat,0,0
AlicesAdventuresInWonderland_103,Explicit,Alice,Alice,The White Rabbit,0,0
AlicesAdventuresInWonderland_104,Implicit,Alice,Alice,The White Rabbit,0,0
AlicesAdventuresInWonderland_105,Implicit,Alice,Alice,Pat,0,0
AlicesAdventuresInWonderland_106,Implicit,Alice,Alice,The White Rabbit,0,0
AlicesAdventuresInWonderland_107,Implicit,Alice,Alice,Pat,0,0
AlicesAdventuresInWonderland_108,Implicit,Alice,Alice,The White Rabbit,0,0
AlicesAdventuresInWonderland_109,Implicit,Alice,Alice,Pat,0,0
AlicesAdventuresInWonderland_11,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_110,Implicit,Alice,Alice,The White Rabbit,0,0
AlicesAdventuresInWonderland_111,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_112,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_113,Anaphoric,Pat,Pat,Alice,0,0
AlicesAdventuresInWonderland_114,Explicit,Alice,Alice,The White Rabbit,0,0
AlicesAdventuresInWonderland_115,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_116,Anaphoric,Alice,Alice,Bill,0,0
AlicesAdventuresInWonderland_117,Anaphoric,Alice,Alice,The White Rabbit,0,0
AlicesAdventuresInWonderland_118,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_119,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_12,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_120,Explicit,The White Rabbit,The White Rabbit,The White Rabbit,0,0
AlicesAdventuresInWonderland_121,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_122,Anaphoric,The White Rabbit,The White Rabbit,Alice,0,0
AlicesAdventuresInWonderland_123,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_124,Anaphoric,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_125,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_126,Explicit,Alice,Alice,Alice,0,0
AlicesAdventuresInWonderland_127,Explicit,Alice,Alice,Alice,0,0
